Estacion,Date,Mes,Year,SO2,CO,NO,NO2,NOx,O3,C7H8,C6H6,C8H10,PM10,Ruido,PM25,PM1,CH4,Veloc,Direc,VelocMax,Temp,HRel,Pres,RSol,Precip,NH3,lat,lon,long
Bulevard Sud,12-2020,12,2020,3.01,,1575.3,492.82,6060.54,1024.5,,,,,,,,,4.24,8811.8,18.39,29.62,334.06,37.1,,0.0,7.24,39.4504492319186,,-0.39630566751679575
Bulevard Sud,1-2021,1,2021,1.87,,841.64,516.44,3882.92,744.8,,,,,,,,,10.67,7133.21,44.04,32.72,321.7,43.5,,1.94,4.04,39.4504492319186,,-0.39630566751679575
Bulevard Sud,2-2021,2,2021,1.68,,247.49,268.42,1314.74,651.76,,,,,,,,,6.57,12480.99,25.42,26.59,308.52,63.25,,0.06,3.31,39.4504492319186,,-0.39630566751679575
Bulevard Sud,3-2021,3,2021,1.59,,297.68,333.29,1613.81,697.06,,,,,,,,,4.14,11650.93,16.12,29.45,464.32,40.05,,0.13,2.54,39.4504492319186,,-0.39630566751679575
Bulevard Sud,4-2021,4,2021,1.28,,369.28,293.78,1719.27,1106.58,,,,,,,,,3.27,11501.86,14.01,27.21,435.93,25.08,,0.26,1.4,39.4504492319186,,-0.39630566751679575
Bulevard Sud,5-2021,5,2021,1.8,,153.07,266.7,978.71,724.27,,,,,,,,,4.65,10437.42,17.08,29.6,510.52,14.56,,0.03,2.97,39.4504492319186,,-0.39630566751679575
Bulevard Sud,6-2021,6,2021,2.36,,108.22,263.7,841.6,890.43,,,,,,,,,4.23,10559.9,14.41,34.41,525.5,23.56,,0.02,3.11,39.4504492319186,,-0.39630566751679575
Bulevard Sud,7-2021,7,2021,1.66,,64.68,224.3,570.29,601.35,,,,,,,,,3.96,12294.97,15.06,38.56,464.7,19.21,,0.15,1.97,39.4504492319186,,-0.39630566751679575
Bulevard Sud,8-2021,8,2021,1.92,,465.27,231.32,1561.2,572.13,,,,,,,,,5.51,11725.87,21.66,40.84,432.58,15.69,,0.61,3.1,39.4504492319186,,-0.39630566751679575
Bulevard Sud,9-2021,9,2021,1.96,,106.73,263.75,785.28,836.48,,,,,,,,,6.02,12393.76,21.94,41.07,297.61,19.55,,0.61,3.39,39.4504492319186,,-0.39630566751679575
Bulevard Sud,10-2021,10,2021,2.44,,129.58,383.78,892.38,682.08,,,,,,,,,4.98,10158.24,20.48,23.1,212.69,23.03,,0.09,3.79,39.4504492319186,,-0.39630566751679575
Bulevard Sud,11-2021,11,2021,2.97,,939.34,374.42,3230.83,572.47,,,,,,,,,3.86,9865.92,16.67,33.69,367.37,31.48,,1.13,13.33,39.4504492319186,,-0.39630566751679575
